50,1938,France,Marseille,Semifinals,Brazil,Italy,1,2,A,,Italy,Brazil,Jun,Thursday
51,1938,France,Paris,Semifinals,Hungary,Sweden,5,1,H,,Hungary,Sweden,Jun,Thursday
52,1938,France,Bordeaux,Third place,Brazil,Sweden,4,2,H,,Brazil,Sweden,Jun,Sunday
53,1938,France,Colombes,Final,Hungary,Italy,2,4,A,,Italy,Hungary,Jun,Sunday
54,1950,Brazil,Rio de Janeiro,Group 1,Brazil,Mexico,4,0,H,,Brazil,Mexico,Jun,Saturday
55,1950,Brazil,Rio de Janeiro,Group 2,Chile,England,0,2,A,,England,Chile,Jun,Sunday
56,1950,Brazil,São Paulo,Group 3,Italy,Sweden,2,3,A,,Sweden,Italy,Jun,Sunday
57,1950,Brazil,Curitiba,Group 2,Spain,United States,3,1,H,,Spain,United States,Jun,Sunday
58,1950,Brazil,Belo Horizonte,Group 1,Switzerland,Yugoslavia,0,3,A,,Yugoslavia,Switzerland,Jun,Sunday
59,1950,Brazil,São Paulo,Group 1,Brazil,Switzerland,2,2,D,,NA,NA,Jun,Wednesday
60,1950,Brazil,Porto Alegre,Group 1,Mexico,Yugoslavia,1,4,A,,Yugoslavia,Mexico,Jun,Wednesday
61,1950,Brazil,Rio de Janeiro,Group 2,Chile,Spain,0,2,A,,Spain,Chile,Jun,Thursday
62,1950,Brazil,Belo Horizonte,Group 2,England,United States,0,1,A,,United States,England,Jun,Thursday
63,1950,Brazil,Curitiba,Group 3,Paraguay,Sweden,2,2,D,,NA,NA,Jun,Thursday
64,1950,Brazil,Rio de Janeiro,Group 1,Brazil,Yugoslavia,2,0,H,,Brazil,Yugoslavia,Jul,Saturday
65,1950,Brazil,Belo Horizonte,Group 4,Bolivia,Uruguay,0,8,A,,Uruguay,Bolivia,Jul,Sunday
66,1950,Brazil,Recife,Group 2,Chile,United States,5,2,H,,Chile,United States,Jul,Sunday
67,1950,Brazil,Rio de Janeiro,Group 2,England,Spain,0,1,A,,Spain,England,Jul,Sunday
68,1950,Brazil,São Paulo,Group 3,Italy,Paraguay,2,0,H,,Italy,Paraguay,Jul,Sunday
69,1950,Brazil,Porto Alegre,Group 1,Mexico,Switzerland,1,2,A,,Switzerland,Mexico,Jul,Sunday
70,1950,Brazil,Rio de Janeiro,Final Round,Brazil,Sweden,7,1,H,,Brazil,Sweden,Jul,Sunday
71,1950,Brazil,São Paulo,Final Round,Spain,Uruguay,2,2,D,,NA,NA,Jul,Sunday
72,1950,Brazil,Rio de Janeiro,Final Round,Brazil,Spain,6,1,H,,Brazil,Spain,Jul,Thursday
73,1950,Brazil,São Paulo,Final Round,Sweden,Uruguay,2,3,A,,Uruguay,Sweden,Jul,Thursday
74,1950,Brazil,Rio de Janeiro,Final Round,Brazil,Uruguay,1,2,A,,Uruguay,Brazil,Jul,Sunday
75,1950,Brazil,São Paulo,Final Round,Spain,Sweden,1,3,A,,Sweden,Spain,Jul,Sunday
76,1954,Switzerland,Zürich,Group 3,Austria,Scotland,1,0,H,,Austria,Scotland,Jun,Wednesday
77,1954,Switzerland,Geneva,Group 1,Brazil,Mexico,5,0,H,,Brazil,Mexico,Jun,Wednesday
78,1954,Switzerland,Berne,Group 3,Czechoslovakia,Uruguay,0,2,A,,Uruguay,Czechoslovakia,Jun,Wednesday
79,1954,Switzerland,Lausanne,Group 1,France,Yugoslavia,0,1,A,,Yugoslavia,France,Jun,Wednesday
